PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=110 ttl=114 time=48.8 ms
64 bytes from 8.8.8.8: icmp_seq=111 ttl=114 time=22.9 ms
64 bytes from 8.8.8.8: icmp_seq=112 ttl=114 time=26.2 ms
64 bytes from 8.8.8.8: icmp_seq=113 ttl=114 time=25.1 ms
64 bytes from 8.8.8.8: icmp_seq=114 ttl=114 time=34.0 ms
64 bytes from 8.8.8.8: icmp_seq=115 ttl=114 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=116 ttl=114 time=32.6 ms
64 bytes from 8.8.8.8: icmp_seq=117 ttl=114 time=31.1 ms
64 bytes from 8.8.8.8: icmp_seq=118 ttl=114 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=119 ttl=114 time=29.4 ms
64 bytes from 8.8.8.8: icmp_seq=120 ttl=114 time=44.2 ms
64 bytes from 8.8.8.8: icmp_seq=121 ttl=114 time=27.6 ms
64 bytes from 8.8.8.8: icmp_seq=122 ttl=114 time=16.6 ms
64 bytes from 8.8.8.8: icmp_seq=123 ttl=114 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=124 ttl=114 time=29.3 ms
64 bytes from 8.8.8.8: icmp_seq=125 ttl=114 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=126 ttl=114 time=27.0 ms
64 bytes from 8.8.8.8: icmp_seq=127 ttl=114 time=25.8 ms
64 bytes from 8.8.8.8: icmp_seq=128 ttl=114 time=25.7 ms
64 bytes from 8.8.8.8: icmp_seq=129 ttl=114 time=24.0 ms
64 bytes from 8.8.8.8: icmp_seq=130 ttl=114 time=18.0 ms
64 bytes from 8.8.8.8: icmp_seq=131 ttl=114 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=132 ttl=114 time=35.2 ms
64 bytes from 8.8.8.8: icmp_seq=133 ttl=114 time=25.0 ms
64 bytes from 8.8.8.8: icmp_seq=134 ttl=114 time=33.1 ms
64 bytes from 8.8.8.8: icmp_seq=135 ttl=114 time=28.2 ms
64 bytes from 8.8.8.8: icmp_seq=136 ttl=114 time=61.1 ms
64 bytes from 8.8.8.8: icmp_seq=137 ttl=114 time=28.0 ms
64 bytes from 8.8.8.8: icmp_seq=138 ttl=114 time=27.3 ms
64 bytes from 8.8.8.8: icmp_seq=139 ttl=114 time=24.0 ms
64 bytes from 8.8.8.8: icmp_seq=140 ttl=114 time=22.6 ms
64 bytes from 8.8.8.8: icmp_seq=141 ttl=114 time=21.8 ms
64 bytes from 8.8.8.8: icmp_seq=142 ttl=114 time=24.6 ms
64 bytes from 8.8.8.8: icmp_seq=143 ttl=114 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=144 ttl=114 time=25.6 ms
64 bytes from 8.8.8.8: icmp_seq=145 ttl=114 time=22.1 ms
64 bytes from 8.8.8.8: icmp_seq=146 ttl=114 time=21.6 ms
64 bytes from 8.8.8.8: icmp_seq=147 ttl=114 time=28.4 ms
64 bytes from 8.8.8.8: icmp_seq=148 ttl=114 time=29.6 ms
64 bytes from 8.8.8.8: icmp_seq=149 ttl=114 time=48.3 ms
64 bytes from 8.8.8.8: icmp_seq=150 ttl=114 time=32.4 ms
64 bytes from 8.8.8.8: icmp_seq=151 ttl=114 time=25.9 ms
64 bytes from 8.8.8.8: icmp_seq=152 ttl=114 time=30.4 ms
64 bytes from 8.8.8.8: icmp_seq=153 ttl=114 time=23.9 ms
64 bytes from 8.8.8.8: icmp_seq=154 ttl=114 time=63.1 ms
64 bytes from 8.8.8.8: icmp_seq=155 ttl=114 time=33.6 ms
64 bytes from 8.8.8.8: icmp_seq=156 ttl=114 time=35.2 ms
64 bytes from 8.8.8.8: icmp_seq=157 ttl=114 time=27.6 ms
64 bytes from 8.8.8.8: icmp_seq=158 ttl=114 time=277 ms
64 bytes from 8.8.8.8: icmp_seq=159 ttl=114 time=26.5 ms
64 bytes from 8.8.8.8: icmp_seq=160 ttl=114 time=35.1 ms
64 bytes from 8.8.8.8: icmp_seq=161 ttl=114 time=24.2 ms
64 bytes from 8.8.8.8: icmp_seq=162 ttl=114 time=23.5 ms
64 bytes from 8.8.8.8: icmp_seq=163 ttl=114 time=34.7 ms
64 bytes from 8.8.8.8: icmp_seq=164 ttl=114 time=32.2 ms
64 bytes from 8.8.8.8: icmp_seq=165 ttl=114 time=25.6 ms
64 bytes from 8.8.8.8: icmp_seq=166 ttl=114 time=24.5 ms
64 bytes from 8.8.8.8: icmp_seq=167 ttl=114 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=168 ttl=114 time=28.9 ms
64 bytes from 8.8.8.8: icmp_seq=169 ttl=114 time=25.9 ms
64 bytes from 8.8.8.8: icmp_seq=170 ttl=114 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=171 ttl=114 time=25.7 ms
64 bytes from 8.8.8.8: icmp_seq=172 ttl=114 time=194 ms
64 bytes from 8.8.8.8: icmp_seq=173 ttl=114 time=39.6 ms
64 bytes from 8.8.8.8: icmp_seq=174 ttl=114 time=26.5 ms
64 bytes from 8.8.8.8: icmp_seq=175 ttl=114 time=34.4 ms
64 bytes from 8.8.8.8: icmp_seq=176 ttl=114 time=37.8 ms
64 bytes from 8.8.8.8: icmp_seq=177 ttl=114 time=33.2 ms
64 bytes from 8.8.8.8: icmp_seq=178 ttl=114 time=21.9 ms
